class,text
positive,"it stands as a moment one will not soon forget : a giant , green ogre flips through the pages of a cliche fairy tale , narrating it with every bit of dull inspiration that the story holds . this leads one to believe that this serves as the prologue to shrek , dreamworks' second computer animated feature , but in a pricelessly hilarious bit of cinema , a page of this tale serves as that ogre's toilet paper . from this opening moment , one can infer shrek's defying of all expectations regarding it as a standard , disney-esque fairy tale . although rampant moments of hilarity dot shrek , the true charm of the film lies in the bold elements of friendship , courage , and acceptance , excelled by outstanding direction , stunning actor voice work , and most importantly , a witty screenplay with more going on than meets the eye . while shrek features an abundance of humor related directly toward adults , positive friendship values aimed at younger children fulfill the storyline : shrek , the previously mentioned ogre , holds a position of absolute nothingness within his community . the jolly green giant meets a fellow outsider , known only as the donkey ( his species ) who talks , and although he remains reluctant to warm up to him for a good portion of time , shrek eventually comes to a mutual understanding with him by acknowledging their common state as outcasts of the world . the pair team up to retrieve princess fiona from a castle guarded by a dragon for the powerful lord farquaad , learning quite a bit about each other and themselves along the way . their friendship exhibits the core theme of the need for someone to lean on , exemplifying to any child who may witness the film that acting as an honest companion can unquestionably affect someone . shrek and donkey endure as supposed freaks of nature due only to their differences from others but cling to each other for support and guidance along their journey . courage demonstrates itself within two major storylines : along the journey to rescue fiona , donkey's immeasurable cowardice reveals itself . whether he encounters walking over a shaky bridge or living alone , donkey withholds fears that he continuously puts aside without self-acknowledgment . but the yapping donkey must face his phobias when presented with the giant , fire-breathing dragon guarding fiona ; either he dies from terror or he triumphs with courage . he wisely chooses courage by pretending as if no dangerous situation actually faces him , allowing the donkey to overcome a horror that likely only continued due to his insistence of them . secondly , upon shrek's and donkey's redeeming of princess fiona , the ogre finds the princess has plans for whomever saves her : to satisfy her desire for a ( human ) knight in shining armor . throughout this storyline , shrek faces his deep , perpetual misgivings of inhering as an ogre and struggles to determine how he will reveal his true identity to fiona . an ongoing struggle occurs between himself and his reluctance of the truth , but eventually , shrek courageously conquers his fear by telling the forbidden secret to fiona . children can realize from donkey and shrek that fear remains only as complicated as one makes it ; if one sets his/her mind to overcoming something in particular , endless possibilities exist . after the friendships and courage prevail , the three central characters at the heart of shrek must take one more stretch of development : acceptance . surprisingly , fiona holds a dark secret of her own : due to a spell cast upon her years ago , she transforms into an ogre by night . in this storyline , fiona must learn to hold acceptance for herself , and she must realize what beauty truly means : to simply act as one's self . upon fiona's learning of shrek's desire to pursue a relationship with her , fiona , knowing that acceptance of herself serves as the only platform for her love with shrek to work , gives in to her inner demons of self-ridicule and hatred . any child can pull from fiona's transformation the meaning of beauty and the meaning of self-acceptance . on the technical side , shrek triumphs . directors adam adamson and vicky jenson pace shrek in a consistent and satisfying manner , evenly distributing the lessons learned by the central characters . these central characters spring to life thanks to brilliant voice work from mike myers ( shrek ) , eddie murphy ( donkey ) , and cameron diaz ( princess fiona ) . myers creates his shrek as a lovable and troubled ogre whose green color not only serves as a skin color but perhaps his envy of other , "" normal "" beings . murphy succeeds with his donkey through recreating the high-strung persona that so many know the actor to have off screen . cameron diaz exudes charisma and innocence as fiona , giving the princess/ogre a sense of power that many female characters in animated films lack . while the direction and voice work certainly elevate shrek , the ultimate factor in the film succeeding lies in the screenplay , written by ted elliott , terry rossio , joe stillman , and roger s . h . schulman . the script never underestimates the intelligence of the viewer , combining the three previously spoken of elements with humor for adults and children alike . capping it off with a constant tongue-in-cheek feel that pokes fun at classic disney animated features , the fresh and entertaining screenplay delivers . with shrek , dreamworks executive jeffrey katzenberg has certainly one-upped himself by creating an instant animated classic that will live on for ages to come . the smaller children will laugh and cheer ; the adults will laugh even harder and leave understanding much that their children did not . a film that breaks stereotypes and creates a definite standard of its own , shrek can certainly endure as one for the ages . "
negative,"a sensuous romantic comedy , about as appealing as your average lightweight tv sitcom . there is no special ingredient on the menu for what is dished out , its the kind of stuff i've seen before and was made nauseous by its silly idea of love and what it thinks is funny . the film plans to exploit the beauty and sweetness of its delicious star pen ? lope cruz , who plays a brazilian chef with a magical touch for bringing out the spices in her preparations , the aromas just sensually waft from her cooking pot , but who can't get by on looks alone in this transparently predictable story . pen ? lope was wonderful in pedro almod ? var's "" all about my mother , "" but here she is so visible in such a stale story , where she can only smile and tease the audience by having us see a constant barrage of cleavage shots as she bends when cooking , that she somehow looks ridiculous , as if she got egg all over her face . the best you can say about her , is that she's not to blame for this picture being so off . this exploitation of sex film without even delivering nudity or sex , is in my opinion , worst than a raunchy film that delivers what it says it will . the story is all about the love , motion sickness , and cooking ability of isabella ( cruz ) , who is born in bahia , brazil and learns to cook at an early age from her parents' cook . to cure her motion sickness , her parents tried every remedy , until they went to a spiritualist who prayed to the goddess of the sea for her cure . she is able to control it now as long as she doesn't drive a car , ride elevators , follow in dancing , and is the woman on top when making love . in other words , she has to be in control of things . in her small fishing town she falls in love with a handsome macho latin waiter , toninho oliveira ( murilo ben ? cio ) and marries him . they open up a successful restaurant , where she slaves away in the kitchen but he gets all the credit for it , even though he's a loafer . one night she catches him in bed with another girl and decides to leave for san francisco . we don't see her in flight , so i can't tell how she handled her motion sickness problem -- unless she flew the plane . she visits her friend's apartment monica ( harold perrineau jr . ) , who is a cross-dresser , blending right into the san francisco scene . to cast away her love for the irresistible toninho , she calls her spiritualist friend and gets her to cast an irreversible spell , freeing her from ever loving him again . her luck changes when a local tv producer cliff ( mark feurerstein ) gets a whiff of her cooking and storms into her cooking class as if were in a spell and presents her with her own live tv cooking show . you can really write the script from here on by yourself . . . as the despondent toninho begins to realize what a good thing he had , but things continue to go bad for him : there is a curse he caused on the fishing in his village , there is no chef to replace his wife , as the restaurant is about to close for good . so he comes to san francisco , figuring he can charm her again . he brings along with him his guitar playing musicians , the ones he used when courting her , when he serenaded her under her window . he sees his wife on tv with monica as her sidekick , the yuppie tv producer chasing after her , and sees that she is no longer charmed by him . when he sneaks on her tv show set and tries to woo her with his musical group and him singing corny love songs to her , the ratings go up and he's hired as a regular on the show . the show gets so big , that the network honchos come onboard , taking it national . but they want to change the ethnic flavor of the show , get rid of monica because he's a freak , have isabella cook with tabasco instead of the brazilian peppers she uses , and they change her ethnic dresses to low-cut vanna white type of sexy dresses . cliff , her would-be boyfriend , acts creepy and sides with the network big-shots , even though he loved everything she did . these tv scenes were not only bad stereotype scenes of tv honchos , they were revolting . it was an insult to one's intelligence . i'm sure that i'm not spoiling the ending for anyone , when i tell you that toninho reforms his macho ways and together they cook up a meal that breaks her spell of loving him again . if the film wasn't terrible enough , monica and cliff act on their attraction for each other and become lovers . it was so awkwardly done , that it had no sense of truth or humor to it . this film might as well have been made by the same network guys featured in this film , because it doesn't look or feel like an almod ? var film , the type of film it aspired to be , but more like a film that was interferred with from above . its more like a futile commercial film that is more annoying than charming and more dull than chic , as it searches for box office heaven . "
negative," "" saving silverman "" is a good example of a good comedy gone bad . as a love story it is good , however as a comedy it falls flat on it's face . i think throughout the short 90 minutes i laughed a total of seven times . . . and those were just chuckles at the most ! the movie doesn't have the oomph to make it a great movie , and doesn't have the script to make it a funny movie . wayne lefessier ( steven zahn ) , j . d . mcnugent ( jack black ) , and darren silverman ( jason biggs ) have grown up all their lives together , they have been best friends forever and vow to stay close till the end . while in a bar after doing a show with their band , based on their love of neil diamond , darren meets a young woman named judith ( amanda peet ) whom he instantly falls for . wayne and j . d . however think differently and when judith tells darren that he can never see his friends again , it's up to wayne and j . d . to try and begin saving silverman . the performances are topnotch and surprisingly , they are what keep the movie afloat . jason biggs right off the flop "" loser "" does an ok job playing silverman , but he is stale and flat at times . steve zahn is perfect in the role of wayne lefessier , and even though the movie is about silverman , lefessier is really the main character and the narrator of the movie itself . jack black is well jack black , and he does an all right job as j . d . but he isn't as funny as he has been in the past . amanda peet plays the ultimate bitch as judith , and neil diamond plays neil diamond ( he's better at singing than acting ) . anyway the performances in the film are good , but it's too bad the script isn't . speaking of script , hank nelkan's choppy script is not only badly written , but not funny enough even for an episode of sesame street . the trailer for the movie , as with most movies gives away everything that happens in the movie , especially the funniest parts . somewhere "" saving silverman "" was meant to be a good movie , and it could have been , but alas in the end it wasn't . dennis dugan's direction is all right , he adds a few directorial touches here and there , nothing special being a simple comedy .  "" saving silverman "" is a perfectly bad movie in more ways than one . it has a great cast , a good director and a sweet story . . . it's just too bad it has a bad script and is all together a bad movie . "
negative,"for better or worse , the appearance of basic instinct in the movie marketplace gave the greenlight to a whole slew of overheated , oversexed , underwritten thrillers . apparently not having joe eszterhas as the writer doesn't change a thing , since body of evidence wasn't written by him , but has a puzzling eszterhas-ish presence all over it . in other words , it's a ) really dirty and b ) really , really stupid . madonna ( first warning sign ) stars in body of evidence as a woman who has piles of money and no apparent job ; she lives on a houseboat and likes to parade around semi-naked , presumably for the edification of the shrimp . she's been accused of having murdered an older man who was her lover . already two classic examples of hollywood sexism are in effect -- the first being that any woman in a movie cannot be sexual unless she's under thirty ( or at least looks it ) , and that they usually only exist for the sake of studs or filthy rich older men . what's worse is that the movie confirms all the above , and wallows in them as well . madonna's character is accused of forcing sex on the old goat when she knew darned well he had a heart condition .  ( and yes , there are the obligatory cracks from the cops about how at least he died happy . this movie leave no scummy stone unturned . ) anyway . willem dafoe ( very good but completely wasted ) also stars as the lawyer who is doomed to run afoul of madonna's sexuality . how do we know this ? because his character is set up with the token wife and kids . how obvious is it that he's gonna cheat on her and have to fess everything up ? and get kicked out of the house ? and get welcomed back anyway ? don't skip to the end yet ; we're just getting warmed up . dafoe and madonna have a lot of sex in this movie . most of it is about as erotic as open-heart surgery , since it involves such goodies as hot candlewax ( always the kink of choice among screenwriters who don't know the first thing about * really * kinky sex ) and smashed light bulbs . don't ask . another thing that people are starting to realize about explicit sex in movies is that unless it is critically important to the story , it's insanely dull . what's worse is that body of evidence is dull * everywhere * , not just in the sex scenes . the stuff in the courtroom is recycled ninth-hand from other bad courtroom drama scenes . the thriller business itself is ridiculous -- it involves nasal spray bottles and drugs , and juergen prochnow as a surly doctor . and the ending -- another homage to eszterhas , maybe ? -- is one of those endings where you can almost see the exact * frame * where one of the five or six various endings to this mess was spliced in . the director is uli edel , all the more disappointing since he also directed the elegiac and powerful last exit to brooklyn and christiane f . everyone has to eat , i guess , but this isn't a meal ticket , it's leftovers . "
negative,"i wont even pretend that i have seen the other 3 alien films . i saw glimpses of alien and aliens and fragments of alien 3 , but i have by no means actually sat down and watched any of them . so take my opinion from an unbiased and impartial perspective : alien resurrection is not worth the large bag of lollies i was munching into after a hard days work . i didnt just dislike it so much because the plot was awful ; most of the acting was very average or the special effects got tiresome after 5 minutes of painful viewing  but also the fact that every tedious ingredient thrown in attempts to give this pointless dribble some meaning . sigourney weaver , whos role in alien earned her an academy award nomination , plays the character of ripley ,  who died fighting against extraterrestrial scum in alien 3 . 200 years later , scientists use a sample of blood found at the site of her death to recreate ripley - including the alien that was stuck inside her . in no time they remove the alien from her body and separate the two ; yet ripley is now not completely human , possessing strange amounts of strength and being able to withhold greater pain than a normal being . im sure someone can explain exactly why this is so , but for now well just ignore it and move on . why , you ask , would ripley and the alien inside her be recreated ? well , the smart little lab researchers believed that they would be able to discover many advancements in science from studying the alien creature . these were the same people who said they could control the alien and that their was no danger in their research . they ( yawn ) were wrong . it doesnt take a genius to figure out that the rest of the film is a continuous cat and mouse chase between the humans who die off one by one and the aliens who open their mouths on every possible occasion to show off their frightfully scary un-flossed teeth . theres a little saying that goes something like this : if youre going to make a bad film , do it well .  i have seen plenty of disappointing and underachieving movies , but they are not the ones that really bother me . alien resurrection , a good example of a film that really gets up my nose , is not so much a discouraging experience but an off putting one . there is no way to describe why the australian ma rating was given to this film other than unnecessary and repulsive gore , which attempts to distract us from the wandering-but-not-going-anywhere plot . in one scene my stomach churned as i witnessed a mawkish looking alien put its hand on a characters head and literally ripped most of his face off . another one featured ripley sticking a knife through her hand just to impress someone she was talking to . fair enough if it were in a horror film or even if it bared any significance to the story , but this is unfortunately not the case , and this sort of bizarre gore is inexcusable . if you think im struggling to find one good aspect about the film , then you thought right . one exciting scene is a credit ( and the only part remotely worth seeing ) to the film , in which an alien chases two men ( one a cripple ) up a tall ladder with interesting results . but of course after that thrilling scene alien resurrection had no problem in returning to its pathetically low standard , and ends up crashing into the shores of movie dullness more often than japanese kamikaze jet fighters fall off their skis . so in a film where the one liners come as bad as earth man , what a shit hole and the primary means for one mans strategic attack is to bounce bullets off walls to hit an opponent , its no wonder why alien : resurrection turned out to be as off putting and clumsy as it is . oh , and in case youre wondering about my bag of lollies  the less i enjoy a film , the more i eat . so all the lollies were gone in 15 minutes ; but however empty the bag turned out to be , it was still a long way ahead of the movie "
positive,"oliver stone's latest feature is the last one standing in the long line of biographies of american presidents . it's a three-hour long saga about the life of one of the most hated and misunderstood leaders of the 20th century . stone doesn't hold back anything as he digs deep inside politics and legal maneuvers of the white house . the director holds nixon responsible for everything he has done . at the same time he creates a very human character , a brilliant and tortured man that is caught in the dirty game of politics , which is here pictured as a wild animal . he is simply trying to tame it . but the occasional switch to the raging sky and the clouds swiftly fleeing over the white house as events run ahead of the president's ability to control them . stone doesn't in any way apologize for nixon . he blames not only nixon's own character flaws but also the imperial presidency itself , the system that , once set in motion , behaves with a mindlessness of its own .  "" nixon "" is a modern shakespeare story - a saga about a ruler destroyed by his fatal flaws . there's something almost majestic about the process : as nixon goes down in this film , there is no gloating , but a watery sigh , as of a great ship sinking . sir anthony hopkins is staggering and plays nixon with incredible honesty and understanding , creating a very emotional picture of the 37th american president . joan allen's magnificent and captivating performance is certainly worth an oscar statuette . she is strong and loyal as mrs . nixon . the rest of the cast is equally magnificent , including : james woods , j . t . walsh , paul sorvino , ed harris and bob hoskins . everyone does a serious and demanding job , no one are disappointing . stone never loses focus and his direction is steddy , honest and determined . he is displaying the historical facts and at the same time concentrating at the human element . at times he is showing to black and white showing flashbacks from nixon's youth and childhood . the flashy editing by brian berdan and frank corwin , robert richardson's rich cinematography and john williams' musical score create a hectic and bizarre atmosphere . the film's only fault is that it's a bit tiering and overloaded with too much political material and legal maneuvers . still it's an honest and captivating - a solid piece of movie making . "
positive,"let me open this one with a confession : i love cop movies . i adore them with such an unwavering , near foolish passion that i was actually one of the first in line to see 1998's one tough cop starring the smirkiest of the baldwin brothers , steven . was it any good ? well , just about as good as baldwin's steven seagal impression ( for those i've confused the answer is a resounding no ! ) . now let me clarify , i don't love just any cop movie ; i'm not too keen on the smug buddy cop flicks that were so in vogue in the 80's and now slowly ( gulp ) returning thanks to jackie chan and chris tucker . i'm partial to those gritty , earthy cop dramas like serpico , donnie brasco , and the french connection . problem is these films come along just about as often as george w . bush makes a cogent point so whenever a "" true "" cop movie does hit multiplexes , i come running towards it like an eager puppy ? ? ? and inevitably i leave , head bowed , tripping over my squiggly tail . so what is it about cop movies that transform me into a moron willing to shell out $7 . 50 for a movie called one tough cop ( which actually sounds a lot like a wiseguy spin-off , no ? ) ? truth is i'm a sucker for those barren streets , that gritty , graffiti strewn modernist jungle where dangerous criminals lurk and cops , like modern day knights , must shield us from their iniquitous clutches . yes it's all very corny and awfully boys clubish , which , i'm guessing , is precisely where these feelings come from . as little tots us boys are brought up to create our own wars with gi joe's , enact cops and robbers or cowboy and indian fantasies , etc . the best gritty cop films tap into those gleeful adolescent fantasies , and heighten them , turning it all into an existential nightmare of thin moral lines and psychological chaos . as an adult my tastes haven't changed all that drastically ; sure i can get a cerebral high from the emotional complexities of a krzysztof kieslowski film , but i still delight at the promise a "" guy "" film could potentially bring . now what if it's the cops who're the corrupt ones ? ooh that one really gets me going , these protectors using all that at their service , taking advantage of others for their own gain . throw a courtroom drama ( yech ! ) into the pot and you have the tremendously absorbing sidney lumet film prince of the city . how absorbing is prince of the city , you ask ? so damn absorbing that when the film shifts from gritty undercover cop drama to courtroom drama ( a sub-genre i loath the way kristy swanson must loath sarah michelle gellar ) i remained completely and utterly involved . the film stars treat williams , who gives the kind of performance that should have skyrocketed his career up to the level that brad pitt currently resides at . since i was hatched a mere two years prior to the release of prince of the city , i cannot provide an answer as to why it didn't .  ( though judging from his recent roles in tripe like deep rising and dead heat i would guess that it probably has something to do with quite a few bad career moves ) . like mickey rourke and eric roberts ( both of whom are currently doing time in direct to video purgatory ) williams is a talented leading man who didn't make it to where he should have .  ( if there was any justice in this dog gone world keanu reeves would be the one banished to direct to video hell ) . here , the actor is given a role not all that dissimilar from al pacino's in serpico ( also directed by lumet ) . williams plays danny ciello , a member of an elite squad of police officers who take down drug dealers on the gritty pre-juliani streets of new york . they work without uniforms or hours much like paid vigilantes . and that analogy is more than apt seeing as how the bunch are kinda sorta forced into using corrupt means to get the job done . the squad relies entirely on informants ( low level junkies ) to gain access to the big wigs , and in order to obtain the info they seek , they sometimes have to provide the junkies with the junk of their choice . danny has done this , and though he's a fairly honorable guy , who took the job in order to do good , his intentions have gotten a bit skewed along the way . he seeks redemption and concludes that the best way to go about getting it is by talking to internal affairs who then convince him to go undercover as a "" double agent "" . he does so with one condition : he will not rat on his partners . right away we know that that is exactly what he'll have to do . and watching the movie build to that is thrilling in the way that any great character driven story can be . undercover cop films are almost innately exciting , even the kind that pull out all the cliches ( like in too deep ) . how can one not be moved by the issues of betrayal , ambiguity , and the danger in putting oneself in such a risky position ? prince of the city takes all this and charges it with a perceptive , hard boiled script and taut unintrusive direction by old pro sidney lumet , as well as a handful of intense performances , most notably by treat . lumet's greatest contribution to the movie is how he lays back , and lets the camera soak up the action . his scenes transition rapidly from one to the next building layers of tension , and he rarely holds for reaction shots , instead he clicks away at precisely the moment a character stops yakking . lumet's worst tendency is one that many film makers ( especially oliver stone ) tend to overuse : he relies a little too heavily on actors shouting their lines at each other presumably in order to ratchet up the tension . this isn't as much a problem here as it was in night falls on manhattan , lumet's most recent cop \ lawyer endeavor , a movie that nearly gave me an ulcer from just watching . though of late lumet has made several really awful career choices ( maybe he and treat should get together for a drink or something ) , the most recent a completely unnecessary remake of gloria , here he was on , sustaining tension in a film that runs for 167 minutes with not one dull spot . some of the formula pictures i like the best are the most simplistic . hollywood often forgets how easy it is to make these kinds of pictures even tolerable . of course cop movies aren't popular anymore ( yes buddy cop flicks are popular but those are more like extended sitcoms with gunfire amid the punch lines ) , but just look at the average hollywood action movies , flicks so bloated and full of unnecessary fat like the boring love interest that serves no purpose other than to stall the action and demonstrate that our hero isn't gay , the lame comic relief character who's never funny , and on and on . for all its moral ambiguities prince of the city is a back to the basics cop \ courtroom drama that leaves out all the crap and really thrills . it focuses completely on its story , and its characters all of whom are completely believable from the cops to the lawyers to the junkies . there's a great scene early on where an irate williams shouts at an ia officer and looks as if he's about to go into one of those corny braveheart inspirational speeches , but instead he breaks down in front of the cop and begins sobbing . this is a scene that would never make it into a michael bay film ( even though bruce willis sacrifices his life at the end of armageddon , not one damn tear ) it would be cut out because the director would say oh that makes him too human , excuse me , weak . in the very next scene danny speaks in a hushed raspiness , straining to get the words out . he's lost his voice . does that little itty bitty detail matter ? maybe not to most , but it sure made my night . and in a sprawling epic of corruption , greed , betrayal and violence it's nice to see that someone is paying attention to the little things . "
positive,"usually a movie is about something more than a soiled rug , but not the big lebowski . the new offering from the creators of 1996's critical hit fargo , is to say the least , wildly entertaining . originality has always been a strong trait in the coen brother's movies , and the big lebowski is insanely original . it begins oddly enough when jeff "" the dude "" lebowski ( jeff bridges ) is mistaken for a millionaire , jeff "" the big "" lebowski ( david huddleston ) , who's wife , bunny ( tara reid ) owes money all over town . two goons , out to collect on bunny's debt break into dude's house . they attempt to collect the money that bunny owes them and one of them urinates on his rug . the next day dude explains his situation to his bowling team ( steve buscemi & john goodman , respectively . ) he is advised to go to the big lebowski and get him to pay for the defiled rug . he does this , and shortly after gets tied up in a kidnapping caper . this is a extremely funny movie with lots of belly laugh moments . the coen brothers have assembled a great cast that play off each other perfectly . also several great supporting roles , john turturro as a child molesting bowler named jesus . the coen's script plays off perfectly and it all goes together to make it extremely entertaining . i doubt this movie will be nearly as popular as fargo , but its off the wall moments make it so far the best of 1998 . if you like anything else the coen brothers have done you will love this one , if not they give this one a try its a little different . "
positive,"i love this movie , and i've just seen for the umptenth time . unfortunately , it is also completly unknown and very few have seen it . it's my mission in life to spread the word : see this movie ! fred , george , doug and howie are reaching middleage . three of them have a wife , kids and a house in the suburb with a mortgage to pay . only fred is still a bachelor . together they take the local train every morning to work in town . on one of their organized thursday evenings at a bar , fred tells them of his boss and the arrangements he has made to keep a mistress . he has gotten an apartment in downtown where he can meet her but has told his wife that he needs the apartment to spend the night after staff meetings every thursday night . since they always split everything four ways , they decide that they should get an apartment with a young woman as well , kathy . however , kathy isn't completly honest to them . in fact , she is a sociology student writing a thesis about the sex life of the suburban male . with these four species she believes that she will make a very good paper . ok , have one thing clear though . the romantic rendezvous' between kathy and each of the men are completly innocent . the script stays above the waist - or to be precise , above the neck . noboyd claims that kathy is their mistress , the four guys call her their 'companion' . the censorship board here in sweden considered it to be suitable only for people above 15 years , but that only shows how long ago 1962 was . small children could watch this without being corrupted . kim novak is as lovely as always in this movie , even if she seems to be a bit too old for a student . james garner is the playboy just like in many other movies . i liked howard morris the best as howard the accountant who has to diet to support his wife . tony randall is funny as always . 1962 was more than 35 years ago . how many accountants , copywriters or investment bankers can today afford to live in a house in the suburb with a lot of kids and a wife who does not work ? this is the white middle class , i can't remember that i saw any blacks on the commuter train they use . these are the people who can count on their kids to live an even better life than themselves . perhaps this should also be a subject for a thesis in movie sociology ? "
negative,"my giant begins with a monologue that's more funny than not and a distinctive `princess bride , ' medieval fairy-tale-in-the- ? 90s feel . i was pleasantly surprised how sharp the comedy was , with very funny scenes occurring on a movie set in romania where talent agent sammy ( billy crystal ) is visiting a client and in the monastery where sammy ends up after being mysteriously saved when he accidentally plunges his car into a stream . and when sammy meets max , his giant , mysterious savior played by gheorghe muresan , there is magic in the air ; albeit it a bit goofy , i loved every minute of it . the film , of course , plays on the size difference between the two , and at times you would almost swear it must be special effects . i particularly enjoyed a shot of sammy dangling his legs from a max-sized chair as the two face each over an enormous table and eat from oversized bowls and spoons . i also liked jere burns' ( from tv's `something so right' ) performance as the director of the film in romania . at this point , the primary flaw in the film is that gheorghe muresan is incredibly hard to understand , particularly during his fast-paced first scene . it is unfortunate that the script required him to speak quickly right out of the gate , as i did understand him more as the film continued and i became accustomed to his speech . however , about the time muresan becomes coherent , the characters head to new york and the film takes a dive . off the high board . suddenly , we are expected to believe sammy is a do-whatever-it-takes slime ball . up until this point he was pursuing his own interests to be sure , but he didn't come off as a desperate jerk . if he had , the first scenes could never have been so lighthearted and magical . but now , in new york , we are further introduced to his neglected wife and son , and his character is desperate enough to involve max in a disturbing giant vs . midgets wrestling match , which i found quite unpleasant and jarring within the framework of the film . indeed , many scenes stuck out of this film like incorrectly placed puzzle pieces . this includes the scenes featuring steven seagal , when sammy gets max a role in a big , hollywood movie filming in las vegas . while i enjoyed seeing seagal poke fun at himself , the scenes appeared to exist solely because of his participation , rather than because the film demanded it . and the audience is required to take a huge leap to believe that max would win the role based on his quotations of shakespeare . at this point i found myself thinking , `we're supposed to believe that someone would cast this guy in a film ? ' then i realized he was , and i was watching it . in the final third , the film undergoes another transformation , this time to unbridled sentimentality . note : major plot points are revealed in this and the final paragraph . max went to america because sammy promised to reunited him with his childhood love , lillianna , who hasn't seen him since he was a normal-sized kid . her refusal to see max ( unbeknownst to him ) leads us to an awkward `ends justify the means' scene as sammy's wife serena , played nicely by kathleen quinlan , poses as lillianna . i found this scene offensive . not only did it rely on deception to induce warm , fuzzy feelings from the audience , it reduced max to someone we should pity and coddle , which i thought was quite undeserved . i think max could have handled the truth , gratuitous illness and all . late in the film we learn max , and in fact all giants , have a heart condition which shortens their lives considerably . this could be an enlightening revelation , but the film seemingly presents it only to justify sammy's transformation into a caring , sensitive guy -- and hey , a great dad and husband , too ! `my giant' suffers from a poorly constructed story line and undeveloped characters whose actions are determined by plot points rather than their own internal persuasions . a stronger story with more room for character growth might have been possible if the focus was on max's struggle to be accepted and cast in movies instead of sammy's struggles to get money and become a better person . in this scenario , max's illness could have been a integral part of the film not a story motivator . sentiment and emotion would have followed naturally . instead , we're apparently not supposed to like sammy until the end , but we're not allowed to focus on max . crystal and muresan give adequate and at times enjoyable performances , but in the end , `my giant' left me feeling like i'd been fed gruel from a giant spoon . "
positive,"films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before . for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen . to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd . the book ( or "" graphic novel , "" if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes . in other words , don't dismiss this film because of its source . if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes . getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ? the ghetto in question is , of course , whitechapel in 1888 london's east end . it's a filthy , sooty place where the whores ( called "" unfortunates "" ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision . when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case . abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium . upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach . i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay . in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end . it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts . and from hell's ending had me whistling the stonecutters song from the simpsons for days ( "" who holds back the electric car/who made steve guttenberg a star ? "" ) . don't worry - it'll all make sense when you see it . now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) . the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic . oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place . even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent . ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham . i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad . the film , however , is all good . 2 : 00 - r for strong violence/gore , sexuality , language and drug content "
negative,"the thirteenth floor is a bland , obligatory exercise in genre film-making . if i hadn't recently watched the matrix and open your eyes -- both of which are similar but far superior -- i might have been a little nicer to this picture . craig bierko makes an adequate hero as douglas hall , the rich co-creator of a perfect human world simulation who is suddenly blamed for the murder of his boss ( armin mueller-stahl ) . everything that was subtle and smart about the previously mentioned films is battered over our heads in this one , and characters stare at each other for maddeningly-long periods of time and refuse to communicate on any realistic level . the acting is okay , but the film suffers from every logical flaw one could think of , and features a script ( co-penned by director josef rusnak ) loaded with cliches and stock characters . there are individual scenes and ideas that work -- i like the thought of a sentient computer program -- but none of the film's strengths are recognized to any meaningful degree . producer roland emmerich , based on this and his previous directorial efforts , seems hell-bent on bringing us the ultimate standard in mediocre science-fiction . "
